,id
30,100416
31,100417
32,100418
33,100419
34,10042
35,100421
36,100424
37,100430
38,100432
39,100442
40,100446
41,100449
42,100450
43,100459
44,100461
45,100462
46,100468
47,100469
48,100473
49,100489
50,10049
51,100493
52,100501
53,100523
54,100526
55,100528
56,100530
57,100537
58,100544
59,100548
60,100556
61,100557
62,100560
63,100563
64,100565
65,100570
66,100571
67,100577
68,100582
69,100587
70,100591
71,100595
72,100597
73,100602
74,100604
75,100609
76,100615
77,100616
78,100620
79,100622
80,100623
81,100638
82,100639
83,100640
84,100641
85,100646
86,100647
87,100648
88,100649
89,100651
90,100674
91,100680
92,100684
93,100688
94,100703
95,100711
96,100714
97,100720
98,100725
99,100726
0,100325
1,100327
2,100330
3,100341
4,100346
5,100349
6,100352
7,100358
8,100368
9,100372
10,100373
11,100376
12,100378
13,10038
14,100382
15,100389
16,100392
17,100395
18,100403
19,100404
20,100416
21,100417
22,100418
23,100419
24,10042
25,100421
26,100424
27,100430
28,100432
29,100442
30,100446
31,100449
32,100450
33,100459
34,100461
35,100462
36,100468
37,100469
38,100473
39,100489
40,10049
41,100493
42,100501
43,100523
44,100526
45,100528
46,100530
47,100537
48,100544
49,100548
50,100556
51,100557
52,100560
53,100563
54,100565
55,100570
56,100571
57,100577
58,100582
59,100587
60,100591
61,100595
62,100597
63,100602
64,100604
65,100609
66,100615
67,100616
68,100620
69,100622
70,100623
71,100638
72,100639
73,100640
74,100641
75,100646
76,100647
77,100648
78,100649
79,100651
80,100674
81,100680
82,100684
83,100688
84,100703
85,100711
86,100714
87,100720
88,100725
89,100726
90,100728
91,100734
92,10074
93,100740
94,100742
95,100745
96,100747
97,100752
98,100758
99,100787
0,100373
1,100376
2,100378
3,10038
4,100382
5,100389
6,100392
7,100395
8,100403
9,100404
10,100416
11,100417
12,100418
13,100419
14,10042
15,100421
16,100424
17,100430
18,100432
19,100442
20,100446
21,100449
22,100450
23,100459
24,100461
25,100462
26,100468
27,100469
28,100473
29,100489
30,10049
31,100493
32,100501
33,100523
34,100526
35,100528
36,100530
37,100537
38,100544
39,100548
40,100556
41,100557
42,100560
43,100563
44,100565
45,100570
46,100571
47,100577
48,100582
49,100587
50,100591
51,100595
52,100597
53,100602
54,100604
55,100609
56,100615
57,100616
58,100620
59,100622
60,100623
61,100638
62,100639
63,100640
64,100641
65,100646
66,100647
67,100648
68,100649
69,100651
70,100674
71,100680
72,100684
73,100688
74,100703
75,100711
76,100714
77,100720
78,100725
79,100726
80,100728
81,100734
82,10074
83,100740
84,100742
85,100745
86,100747
87,100752
88,100758
89,100787
90,100799
91,100801
92,100809
93,100818
94,10083
95,100831
96,100851
97,100852
98,100859
99,100867
0,100416
1,100417
2,100418
3,100419
4,10042
5,100421
6,100424
7,100430
8,100432
9,100442
10,100446
11,100449
12,100450
13,100459
14,100461
15,100462
16,100468
17,100469
18,100473
19,100489
20,10049
21,100493
22,100501
23,100523
24,100526
25,100528
26,100530
27,100537
28,100544
29,100548
30,100556
31,100557
32,100560
33,100563
34,100565
35,100570
36,100571
37,100577
38,100582
39,100587
40,100591
41,100595
42,100597
43,100602
44,100604
45,100609
46,100615
47,100616
48,100620
49,100622
50,100623
51,100638
52,100639
53,100640
54,100641
55,100646
56,100647
57,100648
58,100649
59,100651
60,100674
61,100680
62,100684
63,100688
64,100703
65,100711
66,100714
67,100720
68,100725
69,100726
70,100728
71,100734
72,10074
73,100740
74,100742
75,100745
76,100747
77,100752
78,100758
79,100787
80,100799
81,100801
82,100809
83,100818
84,10083
85,100831
86,100851
87,100852
88,100859
89,100867
90,10091
91,100916
92,100919
93,100920
94,100922
95,100930
96,100931
97,100946
98,100955
99,100960
0,100446
1,100449
2,100450
3,100459
4,100461
5,100462
6,100468
7,100469
8,100473
9,100489
10,10049
11,100493
12,100501
13,100523
14,100526
15,100528
16,100530
17,100537
18,100544
19,100548
20,100556
21,100557
22,100560
23,100563
24,100565
25,100570
26,100571
27,100577
28,100582
29,100587
30,100591
31,100595
32,100597
33,100602
34,100604
35,100609
36,100615
37,100616
38,100620
39,100622
40,100623
41,100638
42,100639
43,100640
44,100641
45,100646
46,100647
47,100648
48,100649
49,100651
50,100674
51,100680
52,100684
53,100688
54,100703
55,100711
56,100714
57,100720
58,100725
59,100726
60,100728
61,100734
62,10074
63,100740
64,100742
65,100745
66,100747
67,100752
68,100758
69,100787
70,100799
71,100801
72,100809
73,100818
74,10083
75,100831
76,100851
77,100852
78,100859
79,100867
80,10091
81,100916
82,100919
83,100920
84,100922
85,100930
86,100931
87,100946
88,100955
89,100960
90,100963
91,100977
92,101016
93,101035
94,101037
95,101044
96,101047
97,101053
98,101057
99,101060
0,10049
1,100493
2,100501
3,100523
4,100526
5,100528
6,100530
7,100537
8,100544
9,100548
10,100556
11,100557
12,100560
13,100563
14,100565
15,100570
16,100571
17,100577
18,100582
19,100587
20,100591
21,100595
22,100597
23,100602
24,100604
25,100609
26,100615
27,100616
28,100620
29,100622
30,100623
31,100638
32,100639
33,100640
34,100641
35,100646
36,100647
37,100648
38,100649
39,100651
40,100674
41,100680
42,100684
43,100688
44,100703
45,100711
46,100714
47,100720
48,100725
49,100726
50,100728
51,100734
52,10074
53,100740
54,100742
55,100745
56,100747
57,100752
58,100758
59,100787
60,100799
61,100801
62,100809
63,100818
64,10083
65,100831
66,100851
67,100852
68,100859
69,100867
70,10091
71,100916
72,100919
73,100920
74,100922
75,100930
76,100931
77,100946
78,100955
79,100960
80,100963
81,100977
82,101016
83,101035
84,101037
85,101044
