,Zl,Z,Zu,alpha,spread
169,195120,0.0006432769549762,201360,0.0,6240
170,352320,0.0006432769549762,354360,0.0,2040
171,194700,0.0006432769549762,201960,0.0,7260
172,195970,0.0006432769549762,199380,0.0,3410
173,197160,0.0006432769549762,199200,0.0,2040
174,196200,0.0006432769549762,200340,0.0,4140
175,194710,0.0006432769549762,199820,0.0,5110
176,196260,0.0006432769549762,200100,0.0,3840
177,191340,0.0006432769549762,204780,0.0,13440
178,197920,0.0006432769549762,198510,0.0,590
179,196260,0.0006432769549762,200340,0.0,4080
180,189300,0.0006432769549762,205200,10.664541001994024,15900
181,191340,0.0006432769549762,205200,0.0,13860
182,197460,0.0006432769549762,200340,0.0,2880
183,196860,0.0006432769549762,199380,0.0,2520
184,198060,0.0006432769549762,200340,0.0,2280
185,194640,0.0006432769549762,194700,0.0,60
186,191100,0.0006432769549762,205860,0.0,14760
187,197880,0.0006432769549762,201660,0.0,3780
188,198240,0.0006432769549762,198300,0.0,60
189,196620,0.0006432769549762,199140,0.0,2520
190,196920,0.0006432769549762,199560,0.0,2640
191,193380,0.0006432769549762,196260,0.0,2880
192,198240,0.0006432769549762,198300,0.0,60
193,198000,0.0006432769549762,198600,0.0,600
194,191280,0.0006432769549762,205260,0.0,13980
195,198080,0.0006430840104799,198480,0.0,400
196,198270,0.0006430840104799,198290,0.0,20
197,198300,0.0006432769549762,199860,0.0,1560
198,198250,0.0006430840104799,198290,0.0,40
199,198050,0.0006430840104799,198410,0.0,360
200,198060,0.0006432769549762,198420,0.0,360
201,198120,0.0006432769549762,198660,0.0,540
202,193320,0.0006432769549762,196980,0.0,3660
203,198120,0.0006432769549762,198180,0.0,60
204,198120,0.0006429554129678,198130,0.0,10
205,197760,0.0006432769549762,199020,0.0,1260
206,197760,0.0006429554129678,199020,0.0,1260
207,194720,0.0006429554129678,202870,0.0,8150
208,197280,0.0006432769549762,198840,0.0,1560
209,197820,0.0006432769549762,198360,0.0,540
210,197830,0.0006429554129678,198280,0.0,450
211,194400,0.0006432769549762,199800,0.0,5400
212,198050,0.0006429554129678,198060,0.0,10
213,198000,0.0006432769549762,198060,0.0,60
214,191100,0.0006432769549762,205440,0.0,14340
215,197980,0.0006429554129678,198000,0.0,20
216,196500,0.0006432769549762,199380,0.0,2880
217,197640,0.0006432769549762,198960,7.54083834277263e-05,1320
218,198000,0.0006432769549762,198720,0.0,720
219,197960,0.0006429554129678,197970,0.0,10
220,196920,0.0006432769549762,199380,0.0,2460
221,198000,0.0006432769549762,198240,0.0,240
222,197950,0.0006429554129678,197960,0.0,10
223,193320,0.0006432769549762,201960,0.0,8640
224,197920,0.0006429554129678,197960,0.0,40
225,198000,0.0006432769549762,198960,0.0,960
226,197960,0.0006429554129678,198490,0.0,530
227,196260,0.0006429554129678,199820,0.0,3560
228,197870,0.0006429554129678,197880,0.0,10
229,197100,0.0006432769549762,198600,0.0,1500
230,196680,0.0006432769549762,197940,0.0,1260
231,196260,0.0006429554129678,199820,0.0,3560
232,197520,0.0006432769549762,198240,0.0,720
233,197940,0.0006432769549762,198000,0.0,60
234,197930,0.0006429554129678,197940,0.0,10
235,197000,0.0006429554129678,201370,0.0,4370
236,196740,0.0006432769549762,198480,0.0,1740
237,197280,0.0006432769549762,199020,0.0,1740
238,197460,0.0006432769549762,198420,0.0,960
239,195980,0.0006429554129678,197930,0.0,1950
240,197100,0.0006432769549762,198900,0.0,1800
241,195720,0.0006432769549762,201900,0.0,6180
242,190980,0.0006432769549762,204840,0.0,13860
243,197340,0.0006432769549762,198420,0.0,1080
244,197900,0.0006429554129678,197910,0.0,10
245,191340,0.0006432769549762,200940,0.0,9600
246,197940,0.0006432769549762,198240,0.0,300
247,195480,0.0006432769549762,196860,0.0,1380
248,197920,0.0006429554129678,198080,0.0,160
249,195180,0.0006432769549762,200100,0.0,4920
250,197160,0.0006432769549762,199800,0.0,2640
251,191760,0.0006432769549762,197520,0.0,5760
252,197900,0.0006429554129678,198080,0.0,180
253,191160,0.0006432769549762,193380,6.432769549747823e-07,2220
254,196630,0.0006429554129678,201310,0.0,4680
255,197340,0.0006432769549762,198900,0.0,1560
256,192540,0.0006429554129678,201310,0.0,8770
257,197890,0.0006429554129678,199590,0.0,1700
258,197010,0.0006429554129678,197930,0.0,920
259,196040,0.0006429554129678,197240,0.0,1200
260,196740,0.0006432769549762,201660,0.0,4920
261,190440,0.0006432769549762,198060,0.0,7620
262,196920,0.0006432769549762,199380,0.0,2460
263,197340,0.0006432769549762,197940,0.0,600
264,184200,0.0006432769549762,276300,1.3155212027289882,92100
265,191940,0.0006432769549762,202740,0.0,10800
266,197220,0.0006432769549762,198600,0.0,1380
267,191100,0.0006432769549762,207660,0.0,16560
268,195810,0.0006429554129678,199150,0.0,3340
269,197440,0.0006429554129678,198500,0.0,1060
270,196920,0.0006432769549762,199380,0.0,2460
271,195720,0.0006429554129678,198600,0.0,2880
272,197440,0.0006429554129678,198500,0.0,1060
273,197840,0.0006429554129678,198050,0.0,210
274,197830,0.0006429554129678,197940,0.0,110
275,197300,0.0006429554129678,198280,0.0,980
276,197400,0.0006432769549762,198180,0.0,780
277,196680,0.0006432769549762,199080,0.0,2400
278,197820,0.0006432769549762,197880,0.0,60
279,194520,0.0006432769549762,200880,0.0,6360
280,195720,0.0006432769549762,199680,0.0,3960
281,197160,0.0006432769549762,198480,0.0,1320
282,195000,0.0006432769549762,198900,0.0,3900
283,197100,0.0006432769549762,198300,0.0,1200
284,197440,0.0006429554129678,199150,0.0,1710
285,194520,0.0006432769549762,195300,6.626549733434508e-06,780
286,197800,0.0006429554129678,197810,0.0,10
287,192120,0.0006432769549762,202620,0.0,10500
288,197160,0.0006432769549762,198480,0.0,1320
289,197640,0.0006429554129678,198020,0.0,380
290,197500,0.0006429554129678,198070,0.0,570
291,175000,0.0006423128110389,203200,0.0,28200
292,196920,0.0006432769549762,198480,0.0,1560
293,197400,0.0006432769549762,199080,0.0,1680
294,193020,0.0006432769549762,203280,0.0,10260
295,197160,0.0006432769549762,198360,0.0,1200
296,195980,0.0006429554129678,199930,0.0,3950
297,197280,0.0006432769549762,197760,0.0,480
298,196870,0.0006429554129678,197990,0.0,1120
299,196620,0.0006432769549762,198900,0.0,2280
300,196260,0.0006432769549762,198060,0.0,1800
301,193200,0.0006432769549762,200220,0.0,7020
302,197270,0.0006429554129678,198200,0.0,930
303,197040,0.0006432769549762,198480,0.0,1440
304,196900,0.0006429554129678,199760,0.0,2860
305,195840,0.0006432769549762,199860,0.0,4020
306,197620,0.0006429554129678,197920,0.0,300
307,197640,0.0006432769549762,198420,0.0,780
308,197160,0.0006432769549762,201060,0.0,3900
309,195930,0.0006429554129678,198910,0.0,2980
310,197470,0.0006429554129678,197820,0.0,350
311,196950,0.0006429554129678,198080,0.0,1130
312,196960,0.0006429554129678,198600,0.0,1640
313,197580,0.0006432769549762,199080,0.0,1500
314,195540,0.0006432769549762,198420,0.0,2880
315,197040,0.0006429554129678,198130,0.0,1090
316,197560,0.0006429554129678,197570,0.0,10
317,197050,0.0006429554129678,198090,0.0,1040
318,196200,0.0006432769549762,200820,0.0,4620
319,196980,0.0006432769549762,198180,0.0,1200
320,197700,0.0006432769549762,198060,0.0,360
321,196900,0.0006429554129678,198470,0.0,1570
322,194700,0.0006432769549762,200340,0.0,5640
323,197640,0.0006432769549762,198180,0.0,540
324,197400,0.0006432769549762,199620,0.0,2220
325,190740,0.0006432769549762,199980,0.0,9240
326,180900,0.0006432769549762,204840,0.0,23940
327,197650,0.0006429554129678,198080,0.0,430
328,196430,0.0006429554129678,198830,0.0,2400
329,197520,0.0006432769549762,198900,0.0,1380
330,196460,0.0006429554129678,198290,0.0,1830
331,196620,0.0006432769549762,198480,0.0,1860
332,197590,0.0006429554129678,201090,0.0,3500
333,197700,0.0006432769549762,198480,0.0,780
334,195950,0.0006429554129678,199430,0.0,3480
335,196200,0.0006432769549762,200280,0.0,4080
336,195480,0.0006432769549762,200580,0.0,5100
337,197100,0.0006432769549762,198480,0.0,1380
338,197640,0.0006432769549762,197700,0.0,60
339,196590,0.0006429554129678,198570,0.0,1980
340,196640,0.0006429554129678,197890,0.0,1250
341,197160,0.0006432769549762,198240,0.0,1080
342,196920,0.0006432769549762,198480,0.0,1560
343,196660,0.0006429554129678,198160,0.0,1500
344,196620,0.0006432769549762,199380,0.0,2760
345,192240,0.0006432769549762,202560,0.0,10320
346,196380,0.0006432769549762,199440,0.0,3060
347,190740,0.0006432769549762,198180,0.0,7440
348,196620,0.0006432769549762,199560,0.0,2940
349,196250,0.0006429554129678,199540,0.0,3290
350,197710,0.0006429554129678,197720,0.0,10
351,197280,0.0006432769549762,197880,0.0004371313701916,600
352,196200,0.0006423128110389,200200,0.0001223022796727,4000
353,193380,0.0006432769549762,201360,0.0,7980
354,196020,0.0006432769549762,198480,0.0,2460
355,197290,0.0006429554129678,200820,0.0,3530
356,194880,0.0006432769549762,197400,0.0,2520
357,197210,0.0006429554129678,198610,0.0,1400
358,197220,0.0006432769549762,198120,0.0,900
359,197220,0.0006432769549762,198240,0.0,1020
360,195000,0.0006432769549762,198480,0.0,3480
361,190740,0.0006432769549762,204660,0.0,13920
362,196500,0.0006432769549762,199620,0.0,3120
363,197400,0.0006432769549762,198840,0.0,1440
364,190740,0.0006432769549762,204660,0.0,13920
365,197300,0.0006429554129678,198020,0.0,720
366,196500,0.0006432769549762,197040,0.0,540
367,197630,0.0006429554129678,197710,0.0,80
368,191100,0.0006429554129678,203330,0.0,12230
369,194200,0.0006423128110389,200200,0.0,6000
370,197280,0.0006432769549762,198480,0.0,1200
371,194580,0.0006432769549762,194700,0.0,120
372,194540,0.0006429554129678,205420,0.0,10880
373,196440,0.0006432769549762,198780,0.0,2340
374,197700,0.0006432769549762,199560,0.0,1860
375,195900,0.0006432769549762,197460,0.0,1560
376,197670,0.0006429554129678,197680,0.0,10
377,196990,0.0006429554129678,198550,0.0,1560
378,195810,0.0006429554129678,199830,0.0,4020
379,197750,0.0006429554129678,197760,0.0,10
380,197820,0.0006432769549762,200940,0.0,3120
381,194940,0.0006432769549762,197760,0.0,2820
382,194160,0.0006432769549762,195480,0.0,1320
383,197700,0.0006432769549762,200640,0.0,2940
384,196860,0.0006432769549762,199740,0.0,2880
385,192200,0.0006429554129678,201940,0.0,9740
386,197670,0.0006429554129678,197680,0.0,10
387,358040,0.0006429554129678,358080,10.000000000018588,40
