,pool_block,pool_timestamp,adjusted_current_price,current_tick,tick_lower,tick_upper,adjusted_amount0,token0,adjusted_amount1,token1,alpha
125256,12370624,1620169800,0.0006422485861802988,202815,193440,197160,0.0,USDC,0.0,WETH,0.0
12526,12370624,1620169800,0.0006422485861802988,202815,192600,193620,0.0,USDC,0.0,WETH,0.0
125266,12376729,1620250931,0.0006432126337128954,202830,194990,195300,0.0,USDC,0.0,WETH,0.0
125271,12370624,1620169800,0.0006422485861802988,202815,192420,197100,0.0,USDC,0.0,WETH,0.0
125273,12376729,1620250931,0.0006432126337128954,202830,194150,196750,0.0,USDC,0.0,WETH,0.0
125278,12370624,1620169800,0.0006422485861802988,202815,194160,196680,0.0,USDC,0.0,WETH,0.0
125280,12370624,1620169800,0.0006422485861802988,202815,188340,202200,0.0,USDC,0.0036597646853060825,WETH,2.3504786948904178e-06
125281,12370624,1620169800,0.0006422485861802988,202815,191760,195960,0.0,USDC,0.0,WETH,0.0
125289,12370624,1620169800,0.0006422485861802988,202815,191160,200340,0.0,USDC,0.0,WETH,0.0
125294,12370624,1620169800,0.0006422485861802988,202815,192180,198060,0.0,USDC,0.0,WETH,0.0
125298,12369811,1620158865,0.0006423128110389168,202816,185200,414400,0.0,USDC,0.0,WETH,0.0
125300,12376729,1620250931,0.0006431483188810073,202829,195210,195390,0.0,USDC,0.0,WETH,0.0
125321,12370624,1620169800,0.0006422485861802988,202815,191160,196920,0.0,USDC,0.0,WETH,0.0
12534,12370624,1620169800,0.0006422485861802988,202815,185280,198060,0.0,USDC,0.0,WETH,0.0
125343,12370624,1620169800,0.0006422485861802988,202815,193680,197880,0.0,USDC,0.0,WETH,0.0
125349,12370624,1620169800,0.0006422485861802988,202815,192180,196200,0.0,USDC,0.0,WETH,0.0
125352,12370624,1620169800,0.0006422485861802988,202815,188280,202140,0.0,USDC,0.0,WETH,0.0
12536,12370624,1620169800,0.0006422485861802988,202815,191880,194160,0.0,USDC,0.0,WETH,0.0
125382,12370624,1620169800,0.0006422485861802988,202815,188400,202260,0.0,USDC,0.0,WETH,0.0
125385,12370624,1620169800,0.0006422485861802988,202815,194700,195300,0.0,USDC,0.0,WETH,0.0
125399,12370624,1620169800,0.0006422485861802988,202815,188280,202140,0.0,USDC,0.0,WETH,0.0
125421,12370624,1620169800,0.0006422485861802988,202815,193260,197280,0.0,USDC,0.0,WETH,0.0
125438,12376729,1620250931,0.0006431483188810073,202829,194710,196260,0.0,USDC,0.0,WETH,0.0
125445,12370624,1620169800,0.0006422485861802988,202815,193380,196620,0.0,USDC,0.0,WETH,0.0
125450,12370624,1620169800,0.0006422485861802988,202815,194700,195600,0.0,USDC,0.0,WETH,0.0
125461,12370624,1620169800,0.0006422485861802988,202815,188400,202260,0.0,USDC,0.0,WETH,0.0
125469,12370624,1620169800,0.0006422485861802988,202815,188400,202260,0.0,USDC,0.0,WETH,0.0
125472,12370624,1620169800,0.0006422485861802988,202815,194640,195600,0.0,USDC,0.23103344981656254,WETH,0.00014838090650504433
125479,12370624,1620169800,0.0006422485861802988,202815,195000,195600,0.0,USDC,0.0,WETH,0.0
1255,12370624,1620169800,0.0006422485861802988,202815,194700,276300,0.8559989101482828,USDC,0.00018813190770248126,WETH,0.8559990309757345
125501,12370624,1620169800,0.0006422485861802988,202815,194160,195660,0.0,USDC,0.0,WETH,0.0
125505,12370624,1620169800,0.0006422485861802988,202815,192780,200820,0.0,USDC,0.0,WETH,0.0
125507,12376729,1620250931,0.0006431483188810073,202829,195230,195430,0.0,USDC,0.0,WETH,0.0
125511,12376729,1620250931,0.0006431483188810073,202829,193370,196600,0.0,USDC,0.0,WETH,0.0
125514,12370624,1620169800,0.0006422485861802988,202815,195000,196080,0.0,USDC,0.0,WETH,0.0
125522,12370624,1620169800,0.0006422485861802988,202815,195480,195960,0.0,USDC,0.0,WETH,0.0
125525,12376729,1620250931,0.0006431483188810073,202829,193890,197130,0.0,USDC,0.0,WETH,0.0
125531,12370624,1620169800,0.0006422485861802988,202815,191520,201780,0.0,USDC,0.0,WETH,0.0
125533,12370624,1620169800,0.0006422485861802988,202815,188460,202320,0.0,USDC,0.003719213285841042,WETH,2.388659474534393e-06
125537,12376729,1620250931,0.0006431483188810073,202829,194330,196540,0.0,USDC,0.0,WETH,0.0
125538,12370624,1620169800,0.0006422485861802988,202815,191400,201900,0.0,USDC,0.0,WETH,0.0
125579,12376729,1620250931,0.0006431483188810073,202829,195150,195330,0.0,USDC,0.0,WETH,0.0
125596,12370624,1620169800,0.0006422485861802988,202815,195840,196500,0.0,USDC,0.0,WETH,0.0
125598,12370624,1620169800,0.0006422485861802988,202815,194280,196080,0.0,USDC,0.0,WETH,0.0
125613,12370624,1620169800,0.0006422485861802988,202815,188520,201960,0.0,USDC,0.0,WETH,0.0
125621,12376729,1620250931,0.0006431483188810073,202829,195130,195320,0.0,USDC,0.0,WETH,0.0
125622,12370624,1620169800,0.0006422485861802988,202815,188280,196380,0.0,USDC,0.0,WETH,0.0
125623,12370624,1620169800,0.0006422485861802988,202815,188280,202140,0.0,USDC,0.0,WETH,0.0
12563,12370624,1620169800,0.0006422485861802988,202815,190800,194820,0.0,USDC,0.0,WETH,0.0
125636,12376729,1620250931,0.0006431483188810073,202829,195200,195300,0.0,USDC,0.0,WETH,0.0
125638,12370624,1620169800,0.0006422485861802988,202815,188280,202140,0.0,USDC,0.0723142137964482,WETH,4.644370157150872e-05
125650,12370624,1620169800,0.0006422485861802988,202815,194760,195420,0.0,USDC,0.0,WETH,0.0
125651,12370624,1620169800,0.0006422485861802988,202815,192060,198420,0.0,USDC,0.0,WETH,0.0
125653,12370624,1620169800,0.0006422485861802988,202815,191760,197880,0.0,USDC,0.0,WETH,0.0
125682,12376729,1620250931,0.0006431483188810073,202829,194950,195220,0.0,USDC,0.0,WETH,0.0
12569,12370624,1620169800,0.0006422485861802988,202815,192960,193560,0.0,USDC,0.0,WETH,0.0
125692,12376729,1620250931,0.0006431483188810073,202829,194940,194960,0.0,USDC,0.0014625732589586427,WETH,9.406515327395672e-07
125702,12370624,1620169800,0.0006422485861802988,202815,193380,196620,0.0,USDC,0.0,WETH,0.0
125706,12370624,1620169800,0.0006422485861802988,202815,184200,201840,0.0,USDC,0.004109591685288715,WETH,2.6393794496549885e-06
125730,12376729,1620250931,0.0006431483188810073,202829,194570,194930,0.0,USDC,0.0,WETH,0.0
125738,12370624,1620169800,0.0006422485861802988,202815,194280,194940,0.0,USDC,0.0,WETH,0.0
125743,12370624,1620169800,0.0006422485861802988,202815,194640,195240,0.0,USDC,0.0,WETH,0.0
125744,12370624,1620169800,0.0006422485861802988,202815,193620,196200,0.0,USDC,0.0,WETH,0.0
125750,12370624,1620169800,0.0006422485861802988,202815,187980,201840,0.0,USDC,0.0,WETH,0.0
125757,12370624,1620169800,0.0006422485861802988,202815,191520,198600,0.0,USDC,2.281218514230178,WETH,0.0014651093655326537
125775,12376729,1620250931,0.0006431483188810073,202829,193890,195300,0.0,USDC,0.0,WETH,0.0
125777,12370624,1620169800,0.0006422485861802988,202815,192480,195300,0.0,USDC,0.0,WETH,0.0
125789,12370624,1620169800,0.0006422485861802988,202815,193320,196260,0.0,USDC,0.0,WETH,0.0
125805,12370624,1620169800,0.0006422485861802988,202815,192240,196620,0.0,USDC,0.0,WETH,0.0
125831,12370624,1620169800,0.0006422485861802988,202815,192420,197340,0.0,USDC,0.0,WETH,0.0
125834,12370624,1620169800,0.0006422485861802988,202815,193380,196500,0.0,USDC,0.0,WETH,0.0
125836,12370624,1620169800,0.0006422485861802988,202815,193500,196260,0.0,USDC,0.0,WETH,0.0
125854,12376729,1620250931,0.0006431483188810073,202829,194930,195120,0.0,USDC,0.0,WETH,0.0
12586,12370624,1620169800,0.0006422485861802988,202815,192060,192780,0.0,USDC,0.0,WETH,0.0
125865,12370624,1620169800,0.0006422485861802988,202815,193920,195900,0.0,USDC,0.0,WETH,0.0
12587,12370624,1620169800,0.0006422485861802988,202815,192780,192840,0.0,USDC,0.0,WETH,0.0
125881,12376729,1620250931,0.0006431483188810073,202829,194860,195150,0.0,USDC,0.0,WETH,0.0
125887,12376729,1620250931,0.0006431483188810073,202829,194790,195090,0.0,USDC,0.0,WETH,0.0
125889,12376729,1620250931,0.0006431483188810073,202829,194830,195060,0.0,USDC,0.0,WETH,0.0
125892,12370624,1620169800,0.0006422485861802988,202815,193020,195780,0.0,USDC,0.0,WETH,0.0
125896,12376729,1620250931,0.0006431483188810073,202829,194870,194990,0.0,USDC,0.0,WETH,0.0
125897,12376729,1620250931,0.0006431483188810073,202829,194350,195670,0.0,USDC,0.0,WETH,0.0
125909,12370624,1620169800,0.0006422485861802988,202815,193860,196080,0.0,USDC,0.0,WETH,0.0
125913,12370624,1620169800,0.0006422485861802988,202815,193320,196920,0.0,USDC,0.0,WETH,0.0
125918,12376729,1620250931,0.0006431483188810073,202829,194920,195190,0.0,USDC,0.0,WETH,0.0
125924,12376729,1620250931,0.0006431483188810073,202829,194430,196260,0.0,USDC,0.0,WETH,0.0
125940,12370624,1620169800,0.0006422485861802988,202815,188280,202140,0.0,USDC,0.0,WETH,0.0
125952,12370624,1620169800,0.0006422485861802988,202815,192960,196620,0.0,USDC,0.0,WETH,0.0
