,id,owner,pool,token0,token1,tickLower,tickUpper,liquidity,collectedFeesToken0,collectedFeesToken1,transaction,feeGrowthInside0LastX128,feeGrowthInside1LastX128
62,577504,0x29878e83e2d38a34da92b5da3651db98895bf4d9,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '200320'},{'tickIdx': '202670'},79597140699962895,0,0,{'id': '0x84f2730308be503796749d41806df3b5d7eb1a5e2851471650e6872d68c2b9bd'},725408773705026905590846949841243,476390217582124754772659000908511871866682
63,574785,0xd034bc419da809e48fd10e95dac3941bad4e1bc9,{'id': '0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '201660'},{'tickIdx': '202980'},79146766707898078,0,0,{'id': '0x92e4cbc64b1e2af811a2e53557210caf591e9a51f8a3b00a75d7cda189963100'},312991956480685602051290108189973,193196530987275382262945336888118859653660
64,249580,0x59de07733e8a6aa85a1951e6c61966d120434130,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '200310'},{'tickIdx': '201360'},78698341830638432,0,0,{'id': '0x9b4321bb976994b5e971954321910d4a832b1e98c12907671564c7bfde6acb3d'},128367114348305996530658694127024,67435709454863429091750370644664990143966
65,579105,0x85c05679d22c5e5253403fa83119dd65f5f8b0e1,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202760'},{'tickIdx': '203050'},77439202876581571,0,0,{'id': '0xe8ef8c6103ce7adb2e3f0353a04033953c852bfc034fd1a25d9f79eb68136307'},115792089237316195423570985008687907853269984495792481967583101642418517962416,115792089237316195423570985008687907696181929522585017106598573926960470510730
66,18830,0xb0b0f6f13a5158eb67724282f586a552e75b5728,{'id': '0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '194700'},{'tickIdx': '201960'},75971125213140926,18913.403613,7.940782625109111038,{'id': '0xa2cebefa58407e8049e5252fcd3a6736e9f6dd3a471308924142c8194b0bfe90'},1835159320358515435682530756463898,753722577164763050682063689618519955186441
67,489498,0x0437d012f61cda07db042bf0342569c4afcee103,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '196940'},{'tickIdx': '200270'},75897833191816592,0,0,{'id': '0xd74b49b4d9b86a5a86700a88b6c2da53d2e9b0acc69ecdc37f321010f877da01'},233778907217367676676250928853895,188833108514691887415616224659046224105294
68,191234,0x6777b57f03d64fd90f51dae0cd92ee3b57361c6a,{'id': '0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '195420'},{'tickIdx': '198300'},74958753843332082,0,0,{'id': '0x314267e996509c4cbaff280ea95ae0b6511ee8530dba6f4f0d79f70a5169494f'},854393037267691541633634916544670,308106406037010467599141463009007516341390
69,191122,0x5da7351a4cb03c33e11f51841bc614d985812821,{'id': '0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '200280'},{'tickIdx': '200340'},74534820591356701,0,0,{'id': '0xe795055c3a312696c233804e5b9dbf42a1b8e433b3f4665a842bae3ee32068d2'},7267778806795259845934097327687,3633421289084823046993735315218668931087
70,578867,0x59de07733e8a6aa85a1951e6c61966d120434130,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '203020'},{'tickIdx': '203880'},72556319949756229,0,0,{'id': '0x3aefe93dccbb92370f396b3443670b0c9de25bfb75fb06e6b54690fb18b73ee2'},115792089237316195423570985008687907853269984427859936414761593517576500775166,115792089237316195423570985008687907645681917574797216669202947079606103789491
71,576474,0xa95da39d45ea1b490c4f5a16aeec14c28f8656f5,{'id': '0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202560'},{'tickIdx': '203580'},72282231213647897,0,0,{'id': '0x76609e38923c3246925e651b2f78fdd567a1d1b856e9a1b44dba4d1f0bf11e49'},178244145622161937362094992694041,115888240803107782600415353547010614633925
72,557962,0xc0a9352670a9c3861032cbbc326ca2347e523579,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '201820'},{'tickIdx': '201940'},71436207856623691,0,0,{'id': '0x2f05ce3d83e7a2fdefdbd763fe7a667ea8f6805ea4fcbaebb76b20072347a7d2'},20919199212493314792671907774578,12211315335156955629004269076207197613310
